01/07/2022_0750_LAKECF19			
time(s)	temp	Pressure(Hg_mm)	CH4(ppm)
0	16.9	612	0
2	16.8	612	0.6084
4	16.9	612	1.17
6	16.9	612	1.8252
8	17	612	2.2932
10	16.9	612	3.042
12	17	612	3.276
14	17	612	3.4632
16	17	612	4.1184
18	17	612	4.4928
20	17	612	4.8672
22	17	612	5.5224
24	17.5	612	5.9904
26	17.1	612	6.6456
28	17	612	7.1604
30	17	612	7.5816
32	17.2	612	8.3304
34	17.2	612	9.0792
36	17.2	612	9.4536
38	17.2	612	10.0152
40	17.3	612	10.53
42	17.1	612	10.998
44	17.3	612	11.3256
46	17.3	612	11.6532
48	17.4	612	12.3552
50	17.5	612	12.9168
52	17.3	612	13.4316
54	17.4	612	13.806
56	17.4	612	14.3208
58	17.5	612	14.9292
60	17.5	612	15.3036
62	17.4	612	15.4908
64	17.5	612	15.8652
66	17.6	612	16.1928
68	17.5	612	16.3332
70	17.5	612	16.5672
72	17.6	612	16.7544
74	17.5	612	17.2224
76	17.5	612	17.4564
78	17.7	612	17.6436
80	17.5	612	17.8776
82	17.7	612	18.0648
84	17.6	612	18.3924
86	17.6	612	18.4392
88	17.7	612	18.8136
90	17.7	612	18.7668
92	17.8	612	19.1412
94	17.7	612	19.422
96	17.9	612	19.7028
98	17.8	612	19.9368
100	17.9	612	20.2176
102	17.8	612	20.4516
104	17.6	612	20.4984
106	18	612	20.592
108	17.9	612	20.592
110	17.8	612	21.1068
112	18	612	21.1068
114	18	612	21.3876
116	18	612	21.6216
118	18	612	21.6216
120	18.1	612	21.4344
122	17.8	612	21.1536
124	18.1	612	20.7792
126	18.1	612	20.358
128	18.1	612	20.2644
130	18.1	612	20.0772
132	18.1	612	20.0772
134	18.1	612	20.4048
136	18.3	612	20.4516
138	18.3	612	20.6856
140	18.2	612	21.0132
142	18.3	612	21.2004
144	18.2	612	21.6216
146	18.4	612	22.23
148	18.2	612	22.3236
150	18.4	612	22.8384
152	18.3	612	23.0256
154	18.4	612	23.5872
156	18.3	612	23.7276
158	18.3	612	24.3828
160	18.5	612	24.57
162	18.4	612	25.0848
164	18.5	612	25.6464
166	18.4	612	26.1612
168	18.4	612	26.6292
170	18.5	612	27.4248
172	18.4	612	27.7992
174	18.6	612	28.314
176	18.4	612	28.782
178	18.5	612	29.3904
180	18.5	612	29.8116
182	18.5	612	30.42
184	18.5	612	30.6072
186	18.5	612	30.888
188	18.6	612	31.2156
190	18.5	612	31.7772
192	18.6	612	32.526
194	18.5	612	33.0408
196	18.7	612	33.2748
198	18.6	612	33.5088
200	18.7	612	33.7896
202	18.7	612	34.164
204	18.8	612	34.1172
206	18.7	612	34.2108
208	18.6	612	34.4916
210	18.8	612	34.398
212	18.7	612	34.7256
214	18.7	612	35.0064
216	18.8	612	35.4276
218	18.7	612	35.802
220	18.8	612	35.9892
222	18.8	612	36.3636
224	18.7	612	36.4104
226	18.7	612	36.3636
228	18.9	612	36.5508
230	18.8	612	36.6912
232	18.9	612	36.6444
234	18.7	612	36.7848
236	18.9	612	36.7848
238	18.8	612	36.9252
240	18.8	612	37.0656
242	18.8	612	37.6272
244	18.9	612	37.7676
246	18.8	612	37.8612
248	18.8	612	38.4696
250	18.9	612	38.9844
252	18.9	612	39.3588
254	18.9	612	39.6396
256	18.9	612	40.0608
258	18.9	612	40.248
260	19	612	40.248
262	18.9	612	40.2948
264	19	612	40.3884
266	19	612	40.2948
268	19	612	40.1544
270	19	612	40.2948
272	19	612	40.1544
274	19.1	612	40.2948
276	19	612	40.248
278	19.1	612	40.5288
280	19.1	612	40.8564
282	19	612	40.9032
284	19.1	612	41.1372
286	19.1	612	41.2308
288	19	612	41.4648
290	19.1	612	41.2308
292	19	612	41.418
294	19.1	612	41.6052
296	19.1	612	41.886
298	19	612	41.8392
300	19.1	612	41.886
302	19	612	41.9796
304	19.2	612	42.0264
306	19.1	612	42.1668
308	19.2	612	42.4008
310	19.2	612	42.354
312	19.1	612	42.4008
314	19.2	612	42.4476
316	19.2	612	42.6348
318	19.2	612	42.5412
320	19.1	612	42.6348
322	19.1	612	42.5412
324	19.2	612	42.6348
326	19.1	612	42.4944
328	19.1	612	42.6816
