30062024_1400_LAKE1			
time(s)	Temp	Pressure(Hg_mm)	CH4(ppm)
0	23	610	0
1.687	23	610	0
3.374	23	610	0
5.061	23	610	0
6.748	23	610	0.085734295
8.435	23	610	0.085734295
10.122	23	610	0.603466053
11.809	23	610	0.085734295
13.496	23	610	0.17162697
15.183	23	610	0.085734295
16.87	23	610	0.430255279
18.557	23	610	0
20.244	23	610	0.085734295
21.931	23	610	0.511079782
23.618	23	610	0.595705414
25.305	23	610	0.516781476
26.992	23	610	0.430255279
28.679	23	610	0.777310349
30.366	23	610	0.603466053
32.053	23	610	1.126899506
33.74	23	610	1.214692746
35.427	23	610	1.302644367
37.114	23	610	1.390754368
38.801	23	610	1.567449511
40.488	23	610	1.656034653
42.175	23	610	1.744778176
43.862	23	610	1.922740362
45.549	23	610	2.011959026
47.236	23	610	2.10133607
48.923	23	610	2.2805653
50.61	23	610	2.370417485
52.297	23	610	2.460428051
53.984	23	610	2.370417485
55.671	23	610	2.550596997
57.358	23	610	2.731410031
59.045	23	610	2.822054118
60.732	23	610	3.003817434
62.419	23	610	3.186214272
64.106	23	610	3.277650261
65.793	23.5	610	3.369244631
67.48	23.5	610	3.460997381
69.167	23.5	610	3.644978023
70.854	23.5	610	3.737205914
72.541	23.5	610	3.829592186
74.228	23.5	610	3.922136838
75.915	23.5	610	4.014839871
77.602	23.5	610	4.107701284
79.289	23.5	610	4.200721077
80.976	23.5	610	4.293899251
82.663	23.5	610	4.387235805
84.35	23.5	610	4.574384055
86.037	23.5	610	4.66819575
87.724	24	610	4.856294282
89.411	24	610	5.045026336
91.098	24	610	5.234391911
92.785	24	610	5.424391008
94.472	24	610	5.615023626
96.159	24	610	5.806289766
97.846	24	610	5.902160407
99.533	24	610	6.094376829
101.22	24	610	6.287226773
102.907	24	610	6.480710239
104.594	24	610	6.77212329
106.281	24	610	6.96719056
107.968	24	610	7.064961765
109.655	24	610	7.260979317
111.342	24.5	610	7.457630391
113.029	24.5	610	7.556193498
114.716	24.5	610	7.852833103
116.403	24.5	610	8.051384741
118.09	24.5	610	8.250569901
119.777	24.5	610	8.450388583
121.464	24.5	610	8.650840786
123.151	24.5	610	8.851926511
124.838	24.5	610	9.053645757
126.525	24.5	610	9.35741248
128.212	24.5	610	9.56071553
129.899	24.5	610	9.866857959
131.586	24.5	610	9.969222196
133.273	24.5	610	10.27726519
134.96	25	610	10.38026295
136.647	25	610	10.58673361
138.334	25	610	10.69020651
140.021	25	610	10.89762745
141.708	25	610	11.00157549
143.395	25	610	11.20994671
145.082	25	610	11.50994671
146.769	25	610	11.73364643
148.456	25	610	12.04976682
150.143	25	610	12.26130565
151.83	25	610	12.36731264
153.517	25	610	12.473478
155.204	25	610	12.68628388
156.891	25	610	12.79292439
158.578	25	610	13.00668054
160.265	25	610	13.11379619
161.952	25	610	13.22107022
163.639	25	610	13.43609342
165.326	25	610	13.65175014
167.013	25.5	610	13.75981607
168.7	25.5	610	13.97642308
170.387	25.5	610	14.08496415
172.074	25.5	610	14.1936636
173.761	25.5	610	14.41153765
175.448	25.5	610	14.63004522
177.135	25.5	610	14.73953658
178.822	25.5	610	14.95899443
180.509	25.5	610	15.1790858
182.196	25.5	610	15.1790858
183.883	25.5	610	15.28936906
185.57	25.5	610	15.39981069
187.257	25.5	610	15.51041071
188.944	25.5	610	15.73208589
190.631	25.5	610	15.73208589
192.318	25.5	610	15.84316105
194.005	25.5	610	15.95439459
195.692	25.5	610	16.06578651
197.379	25.5	610	16.06578651
199.066	25.5	610	16.28904549
200.753	26	610	16.51293799
202.44	26	610	16.96262356
204.127	26	610	17.52829408
205.814	26	610	17.98368134
207.501	26	610	18.21232526
209.188	26	610	18.32688479
210.875	26	610	18.32688479
212.562	26	610	18.32688479
214.249	26	610	18.32688479
215.936	26	610	18.44160269
217.623	26	610	18.55647898
219.31	26	610	18.67151365
220.997	26	610	18.67151365
222.684	26	610	18.67151365
224.371	26	610	18.67151365
226.058	26	610	18.67151365
227.745	26	610	18.67151365
229.432	26	610	18.67151365
231.119	26	610	18.7867067
232.806	26	610	18.7867067
234.493	26	610	18.7867067
236.18	26	610	18.90205813
237.867	26	610	18.90205813
239.554	26	610	18.90205813
241.241	26	610	18.90205813
242.928	26	610	19.01756794
244.615	26	610	19.01756794
246.302	26.5	610	19.01756794
247.989	26	610	19.01756794
249.676	26.5	610	19.01756794
251.363	26.5	610	19.13323613
253.05	26.5	610	19.13323613
254.737	26.5	610	19.13323613
256.424	26.5	610	19.2490627
258.111	26.5	610	19.2490627
259.798	26.5	610	19.13323613
261.485	26.5	610	19.2490627
263.172	26.5	610	19.2490627
264.859	26.5	610	19.5974927
266.546	26.5	610	19.83057126
268.233	26.5	610	20.18137697
269.92	26.5	610	20.18137697
271.607	26.5	610	20.18137697
273.294	26.5	610	20.18137697
274.981	26.5	610	20.18137697
276.668	26.5	610	20.18137697
278.355	26.5	610	20.29862896
280.042	26.5	610	20.29862896
281.729	26.5	610	20.41603934
283.416	26.5	610	20.41603934
285.103	26.5	610	20.41603934
286.79	26.5	610	20.53360809
288.477	26.5	610	20.53360809
290.164	26.5	610	20.65133523
291.851	26.5	610	20.53360809
293.538	26.5	610	20.65133523
295.225	26.5	610	20.65133523
296.912	26.5	610	20.65133523
298.599	26.5	610	20.65133523
300.286	26.5	610	20.76922074
301.973	26.5	610	20.88726464
303.66	26.5	610	20.88726464
305.347	26.5	610	20.88726464
307.034	26.5	610	20.88726464
308.721	26.5	610	21.12382757
310.408	26.5	610	21.00546692
312.095	26.5	610	21.12382757
313.782	26.5	610	21.36102403
315.469	26.5	610	21.36102403
317.156	26	610	21.59885401
318.843	26	610	21.59885401
320.53	26	610	21.71800657
322.217	26	610	21.71800657
323.904	26	610	21.83731751
325.591	26	610	21.95678683
327.278	26	610	22.07641453
328.965	26	610	22.07641453
330.652	26	610	22.19620061
332.339	26	610	22.31614507
334.026	26	610	22.43624791
335.713	26	610	22.43624791
337.4	26	610	22.55650913
339.087	26	610	22.67692874
340.774	26	610	22.79750672
342.461	26	610	22.79750672
344.148	26	610	22.79750672
345.835	26	610	22.91824308
347.522	26	610	23.03913783
349.209	26	610	23.03913783
350.896	26	610	23.16019095
352.583	26	610	23.16019095
354.27	26	610	23.40277234
355.957	26	610	23.76783228
357.644	26	610	24.01199747
359.331	26	610	24.37943311
361.018	26	610	24.62518211
362.705	26	610	24.62518211
364.392	26	610	24.62518211
366.079	26	610	24.62518211
367.766	26	610	24.62518211
369.453	26	610	24.50222842
371.14	26	610	24.62518211
372.827	26	610	24.50222842
374.514	26	610	24.62518211
376.201	26	610	24.74829418
377.888	26	610	24.87156463
379.575	26	610	24.87156463
381.262	26.5	610	24.87156463
382.949	26.5	610	24.99499346
384.636	26.5	610	24.99499346
386.323	26.5	610	24.99499346
388.01	26.5	610	24.99499346
389.697	26.5	610	24.99499346
391.384	26.5	610	25.11858067
393.071	26.5	610	25.24232626
394.758	26.5	610	25.24232626
396.445	26.5	610	25.36623023
398.132	26.5	610	25.36623023
399.819	26.5	610	25.49029259
401.506	26.5	610	25.61451332
403.193	26.5	610	25.61451332
404.88	26.5	610	25.61451332
406.567	26.5	610	25.61451332
408.254	26.5	610	25.73889243
409.941	26.5	610	25.73889243
411.628	26.5	610	25.73889243
413.315	26.5	610	25.73889243
415.002	26.5	610	25.73889243
416.689	26.5	610	25.73889243
418.376	26.5	610	25.73889243
420.063	26.5	610	25.73889243
421.75	26.5	610	25.73889243
423.437	26.5	610	25.86342992
425.124	26.5	610	25.86342992
426.811	26.5	610	25.86342992
428.498	27	610	25.9881258
430.185	27	610	25.9881258
431.872	27	610	25.9881258
433.559	27	610	25.9881258
435.246	27	610	25.9881258
436.933	27	610	26.11298005
438.62	27	610	26.23799269
440.307	27	610	26.23799269
441.994	27	610	26.23799269
443.681	27	610	26.23799269
445.368	27	610	26.4884931
447.055	27	610	26.61398087
448.742	27	610	27.24379545
450.429	27	610	27.62358477
452.116	27	610	28.00479951
453.803	27	610	28.13218785
455.49	27	610	28.25973457
457.177	27	610	28.25973457
458.864	27	610	28.13218785
460.551	27	610	28.13218785
462.238	27	610	28.00479951
463.925	27	610	27.87756955
465.612	27	610	28.13218785
467.299	27	610	28.00479951
468.986	27	610	28.00479951
470.673	27	610	28.00479951
472.36	27	610	28.13218785
474.047	27	610	28.00479951
475.734	27	610	28.00479951
477.421	26.5	610	28.00479951
479.108	26.5	610	28.00479951
480.795	27	610	28.00479951
482.482	26.5	610	28.00479951
484.169	26.5	610	28.13218785
485.856	26.5	610	28.00479951
487.543	26.5	610	28.13218785
489.23	26.5	610	28.25973457
490.917	26.5	610	28.13218785
492.604	26.5	610	28.25973457
494.291	26.5	610	28.13218785
495.978	26.5	610	28.25973457
497.665	26.5	610	28.38743967
499.352	26.5	610	28.38743967
501.039	26.5	610	28.51530315
502.726	26.5	610	28.51530315
504.413	26.5	610	28.51530315
506.1	26.5	610	28.51530315
507.787	26.5	610	28.64332501
509.474	26.5	610	28.64332501
511.161	26.5	610	28.64332501
512.848	26.5	610	28.64332501
514.535	26.5	610	28.64332501
516.222	26.5	610	28.77150525
517.909	26.5	610	28.77150525
519.596	26.5	610	28.77150525
521.283	26.5	610	28.77150525
522.97	26.5	610	28.77150525
524.657	26.5	610	28.89984388
526.344	26.5	610	28.89984388
528.031	26.5	610	28.89984388
529.718	26.5	610	28.89984388
531.405	26.5	610	28.89984388
533.092	26.5	610	29.02834088
534.779	26.5	610	29.02834088
536.466	26.5	610	29.02834088
538.153	26.5	610	28.89984388
539.84	26.5	610	28.89984388
541.527	26.5	610	28.89984388
543.214	26.5	610	28.89984388
544.901	26	610	28.89984388
546.588	26	610	28.89984388
548.275	26	610	28.89984388
549.962	26	610	28.77150525
551.649	26	610	28.77150525
553.336	26	610	28.77150525
555.023	26	610	28.89984388
556.71	26	610	28.89984388
558.397	26	610	33.49147532
